# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,5803.5273,4024.8596,2863.1013,1161.7583,6131.7358,2385.2778,1132.6938,1252.584,2137.1216,0.9806
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,5871.8115,4190.5601,3160.0291,1030.531,6927.5723,761.5773,1.0357,760.5417,2.0184,0.9795
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,5940.5752,4358.7725,3502.186,856.5863,7685.2939,2180.6025,263.804,1916.7985,640.5514,0.9788
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,6009.7593,4425.9575,3555.3301,870.6275,7624.082,3209.0859,1880.7306,1328.3553,4248.8838,0.9826
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,6079.3276,4405.0342,3487.2849,917.7494,7491.584,1385.5353,77.31,1308.2253,300.7467,0.9715
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,6149.2944,4487.1377,3644.1221,843.0159,7831.3193,2932.5479,873.2218,2059.3259,2114.2178,0.9809
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,6219.6284,4331.644,3080.1187,1251.5253,6538.3013,1112.5765,13.5062,1099.0702000000001,116.7624,0.9747
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,6290.2944,4339.8677,3050.8533,1289.0144,6250.186,1830.9243,830.1971,1000.7272,2143.1519,0.9684
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,6361.231,4432.8848,3158.6799,1274.2048,6443.0688,2217.719,937.4525,1280.2665,2271.3975,0.9729
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,6432.48,4830.7061,3939.5911,891.1152,8198.0352,4714.2163,3679.7891,1034.4274,7535.2271,0.9771
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,6503.936,4988.0884,4195.876,792.2126,8765.7666,4988.0884,4195.876,792.2126,8765.7666,0.9764
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,6575.7061,4827.0811,3945.3999,881.6813,8070.9126,2007.7427,596.2946,1411.4481,1544.2186,0.9802
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,6647.6387,4640.9756,3287.2717,1353.7039,6485.1992,868.5434,16.3862,852.1572,86.0098,0.9795
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,6719.7222,4856.5688,3758.384,1098.1848,7476.998,3993.165,2525.0132,1468.1517,5452.9663,0.9837
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,6791.9824,4968.918,3958.4548,1010.4632,7855.9263,3010.6125,1177.7257,1832.8868,2170.2112,0.9826
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,6864.3545,4890.2881,3680.8757,1209.4124,7155.1523,4353.7251,2876.9316,1476.7935,5344.0464,0.9816
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,6936.7959,5112.6533,4078.5825,1034.0709,8020.6987,5110.5586,4076.5923,1033.9662,8008.9941,0.9809
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,7009.3838,5248.5249,4393.2388,855.2863,8728.8633,4853.2915,3660.6255,1192.666,6949.918,0.9795
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,7081.9736,5307.9995,4407.8638,900.136,8597.2119,5012.2544,3862.9189,1149.3351,7606.5942,0.9785
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,7154.5552,5244.4604,4117.1748,1127.2854,7958.0825,4509.2666,2826.3086,1682.958,5717.3223,0.9778
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,7227.1602,5253.1357,4018.8799,1234.2557,7642.1147,2813.5757,853.9175,1959.6582,1467.7595,0.9819
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,7299.7227,5323.0107,4110.3198,1212.6912,7788.9092,2159.8247,467.9108,1691.9138,1276.2549,0.9809
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,7372.1973,5506.4771,4552.063,954.4137,8680.3447,4138.7681,2233.0259,1905.7422,5046.4209,0.9701
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7444.6621,5472.7568,4350.5742,1122.1824,8167.5952,5461.5015,4332.7085,1128.7927,8123.7461,0.9372
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7516.9839,5437.2646,4237.9521,1199.3124,7845.7222,5437.2646,4237.9521,1199.3124,7845.7222,0.9778
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,7589.1382,5543.165,4393.3232,1149.8422,8125.2432,5543.165,4393.3232,1149.8422,8125.2432,0.9823
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,7661.1807,5903.6348,5085.7476,817.8872,9587.8574,5903.6348,5085.7476,817.8872,9587.8574,0.9552
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,7733.0391,5862.5303,4835.6748,1026.8552,8960.3633,5862.5303,4835.6748,1026.8552,8960.3633,0.9802
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,7804.6914,5874.4341,4865.4717,1008.9623,8947.3184,5841.1489,4814.0913,1027.0575,8636.3535,0.9792
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,7876.0996,5508.7896,3886.5308,1622.2588,6857.8501,5495.9141,3872.5542,1623.3599,6800.5122,0.9733
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,7947.2979,5556.3418,3959.6233,1596.7186,6965.561,5298.6367,3465.4385,1833.1985,6090.0566,0.9722
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,8018.2666,4993.3726,2551.3093,2442.0635,4258.5874,3690.8706,1261.4098,2429.4609,2055.8577,0.9816
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,8088.8896,4899.4917,2392.4329,2507.0588,3938.0273,3742.0994,811.2932,2930.8064,1420.0093,0.9806
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,8159.2549,5476.5459,3485.5637,1990.9822,5757.5156,3568.9875,1149.0675,2419.9202,1692.843,0.9795
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,8229.2939,5317.1616,3076.6189,2240.5427,5108.5249,3230.998,628.3838,2602.6143,1117.181,0.9837
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,8298.9893,5779.2446,4091.8638,1687.3807,6940.2998,2295.5029,343.8625,1951.6405,607.7424,0.9826
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,8368.3037,5888.7109,4264.9424,1623.7683,7230.2222,3340.4526,1044.8524,2295.6003,1735.3855,0.9767
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,8437.2764,5938.2378,4183.1274,1755.11,7155.5405,3973.9539,1208.5272,2765.4265,2162.5457,0.9809
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,8505.8486,6045.5527,4384.7124,1660.8402,7353.6572,5650.6387,3741.4851,1909.1536,5998.7524,0.9799
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,8573.9795,6096.6753,4534.1743,1562.5011,7595.1025,5493.3398,4078.9185,1414.4211,6390.8096,0.974
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,8641.7227,5968.084,4004.4827,1963.6014,6617.0249,5198.3745,3266.3379,1932.0367,5240.9585,0.9781
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,8709.0527,6303.9795,4699.0176,1604.962,7824.8965,5505.3594,3242.8826,2262.4768,5751.7241,0.9823
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,8775.8496,6560.0737,5279.8672,1280.2064,8894.2656,5490.3618,2733.7375,2756.6245,4802.5908,0.9812
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,8842.2207,6387.1016,4808.2949,1578.8065,7927.9575,6244.2754,4583.5439,1660.7313,7246.9375,0.9802
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,8908.0752,6289.1035,4496.165,1792.938,7306.6191,5394.375,2416.1394,2978.2356,4001.4487,0.9792
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,8973.376,6571.333,5088.1172,1483.2159,8336.4492,6530.1196,5047.0024,1483.1169,8083.2534,0.9837
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,9038.1914,6736.9033,5496.0347,1240.8687,9078.4258,6042.6895,3625.8872,2416.8022,6242.9419,0.967
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,9102.4492,6276.9893,4281.8364,1995.1527,6754.231,3701.2537,1138.2675,2562.9863,1930.4214,0.9816
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,9166.1035,6170.9155,3882.7942,2288.1216,6012.1802,860.7193,10.8062,849.9131,41.2337,0.9809
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,9229.2207,5941.5098,3222.2849,2719.2249,5255.0791,999.294,79.6054,919.6887,235.9108,0.9799
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,9291.7305,6832.939,5256.2603,1576.6786,8530.4717,3206.27,1271.0891,1935.181,1770.2506,0.9788
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,9353.6357,6851.1772,5330.6006,1520.577,8620.1943,4950.52,2473.1689,2477.3511,4050.1538,0.9778
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,9414.917,6682.9517,4786.8516,1896.1002,7540.6113,6183.1445,3668.4939,2514.6506,5674.2969,0.9823
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,9475.5127,6957.4219,5379.4595,1577.962,8612.0684,6896.8613,5270.1133,1626.7482,8423.208,0.9812
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,9535.502,7191.9907,5998.0693,1193.9211,9685.1416,6969.7832,5514.0518,1455.7317,8806.168,0.9802
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,9594.8096,5703.1377,2656.7742,3046.3635,4273.5605,2204.4358,647.2313,1557.2045,1309.8807,0.9792
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,9653.4092,7082.8706,5380.1411,1702.7297,8530.7041,2177.3416,451.5474,1725.7941,1062.2095,0.9785
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,9711.3447,7297.2534,6022.9126,1274.3407,9662.0459,3898.2239,536.8594,3361.3645,1115.0503,0.8056
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,9768.543,7239.0396,5953.6602,1285.3794,9484.1094,3380.8059,793.9826,2586.8232,1422.0137,0.9819
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,9825.0596,7390.9238,5958.4751,1432.4487,9410.6006,4503.7822,1363.0635,3140.7188,2432.7148,0.9809
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,9880.8135,7325.6699,5698.272,1627.3979,8957.6475,6173.0098,3824.6479,2348.3618,6388.9224,0.975
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,9935.8672,7293.3525,5710.5015,1582.8508,8915.1338,6571.3755,4369.541,2201.8347,6856.811,0.9792
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,9990.1777,7373.0205,5865.2065,1507.8137,9155.7051,6735.1899,4463.1772,2272.0127,6563.4341,0.9785
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,10043.7334,6980.855,4847.6968,2133.158,7429.4897,4800.9819,1768.8993,3032.0828,2670.1316,0.9771
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,10096.4932,6604.4487,3824.2017,2780.2468,5737.207,2354.3086,290.3106,2063.9978,865.2388,0.9816
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,10148.5049,7718.2334,6434.4971,1283.7363,10108.8389,7240.5293,5993.6162,1246.9132,8749.5479,0.9753
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,10199.7109,7795.5547,6642.7759,1152.7789,10484.748,7795.5547,6642.7759,1152.7789,10484.748,0.9799
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,10250.1143,7842.4473,6793.4033,1049.0438,10726.376,7699.6416,6346.458,1353.1833,10175.207,0.9792
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,10299.7588,7347.9805,5600.6968,1747.2837,8515.6553,6970.5703,4711.1113,2259.4592,7226.9463,0.9781
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,10348.5586,7423.1011,5653.0498,1770.051,8487.7744,7403.3921,5611.5894,1791.8025,8428.9756,0.9618
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,10396.5342,7477.1318,5732.376,1744.7556,8705.2402,7477.1318,5732.376,1744.7556,8705.2402,0.9819
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,10443.7246,7769.6001,6399.0928,1370.5072,9859.8418,7759.6865,6385.459,1374.2277,9741.4678,0.9705
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,10490.0459,7772.6782,6269.4067,1503.2714,9506.2305,7072.8286,4435.0449,2637.7832,6878.23,0.9802
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,10535.5273,7466.1118,5366.5518,2099.5603,7958.5698,6174.2427,3079.0137,3095.229,3982.2532,0.9799
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10580.2129,7742.3213,5976.3501,1765.9707,9089.1006,6222.354,3603.9922,2618.3616,4824.3926,0.9677
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10623.9844,7761.3013,5983.1631,1778.1385,9057.1494,7577.6143,5745.146,1832.468,8545.7871,0.9774
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10666.8838,8034.7837,6743.0737,1291.7101,10390.0596,7974.5698,6613.3555,1361.2146,10031.2988,0.9767
