# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,9756.0459,7060.8291,5418.3062,1642.5231,8290.8984,6870.5103,5188.3921,1682.118,7657.4893,0.9788
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,9809.0469,6565.707,4177.4443,2388.2632,6360.876,5044.1724,2295.4736,2748.6987,3831.9514,0.9781
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,9861.3672,6034.8818,2942.4121,3092.4697,4263.8823,5719.8296,2658.5828,3061.2471,3801.4563,0.9774
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,9913.0576,7431.3242,6067.6909,1363.6332,9386.7861,5127.2852,2727.0884,2400.197,4444.5352,0.9816
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,9964.0215,7363.2017,5926.208,1436.9935,8972.791,5151.5503,1207.6343,3943.916,1923.5125,0.8038
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,10014.2871,7345.5894,5970.8081,1374.7815,9181.1494,6733.7959,4488.1006,2245.6948,7376.3262,0.9854
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,10063.8672,7545.1841,6212.0952,1333.0886,9480.5215,6609.9355,4256.2827,2353.6531,6492.8896,0.9847
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,10112.7295,7550.9062,6133.3721,1417.5341,9403.9092,3462.595,1069.3215,2393.2734,2441.7908,0.9788
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,10160.9072,7631.8203,6399.748,1232.072,9819.7607,6576.0332,4334.5239,2241.5093,6290.2085,0.9833
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,10208.3379,7746.7876,6595.9502,1150.8376,10151.4707,7692.3433000000005,6474.5195,1217.8237,9976.9531,0.9823
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,10255.0332,6782.4941,4168.9165,2613.5779000000002,6206.6216,6135.3633,3044.2048,3091.1584,4639.8481,0.9816
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,10300.9863,6155.6548,2923.385,3232.27,4006.0713,2330.8276,152.7497,2178.0779000000002,219.3741,0.9809
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,10346.2441,7613.3608,5930.4248,1682.9362,8812.124,6406.2725,4356.4863,2049.7861,6607.6289,0.9747
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,10390.7197,8094.4556,7154.9458,939.5097,10946.8105,8019.8091,6949.6206,1070.1882,10648.6387,0.9792
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,10434.4395,7224.1587,4860.1626,2363.9963,6971.3164,6405.1289,3078.9404,3326.1882,4462.5737,0.9785
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,10477.3984,7966.9727,6950.0913,1016.8816,10506.7471,7966.9727,6950.0913,1016.8816,10506.7471,0.9778
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,10519.6309,7753.6055,6356.6333,1396.972,9558.8242,7753.6055,6356.6333,1396.972,9558.8242,0.9559
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,10561.0674,7991.1914,6884.1372,1107.0543,10483.374,7991.1914,6884.1372,1107.0543,10483.374,0.976
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,10601.6963,8010.2334,6833.8369,1176.3966,10334.5381,8010.2334,6833.8369,1176.3966,10334.5381,0.9705
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,10641.583,8108.9233,7049.2026,1059.7206,10684.0723,7791.4297,6132.0342,1659.3955,9104.7139,0.9854
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,10680.6914,7466.4941,5203.2935,2263.2004,7406.3403,6686.1245,3486.844,3199.2805,5011.2471,0.9851
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10719.0029,6815.9268,3854.4358,2961.4907,5262.2969,3178.6433,525.5769,2653.0664,712.4867,0.9736
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10756.5215,7751.8315,5780.5488,1971.2822,8394.4229,4186.5044,1570.1205,2616.384,1964.8826,0.9833
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10793.2412,8130.7744,6809.4785,1321.2959,10104.084,8092.4102,6745.9438,1346.4664,9909.793,0.9826
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10829.1582,8271.1318,7224.9863,1046.1451,10947.5957,7560.7139,5139.8008,2420.9131,8500.4658,0.9819
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10864.2676,8227.5449,7075.8467,1151.6987,10641.251,8021.4858,6593.1187,1428.3671,9627.2773,0.9812
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10898.5664,7842.2681,6087.8379,1754.4305,8762.501,7842.2681,6087.8379,1754.4305,8762.501,0.9753
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10932.0498,7387.6128,4750.8428,2636.7705,6542.8901,6126.6606,2396.2644,3730.396,3132.459,0.9799
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10964.6787,7574.0991,5237.9048,2336.1946,7275.6816,3630.9849,772.6058,2858.3789,1459.3158,0.9795
2005-05-13T00:00:00.0/2005-05-14T00:00:00.0,10996.5264,6424.5542,2900.4736,3524.0803,3863.8955,6096.3896,2749.3423,3347.0474,3512.1914,0.9788
2005-05-14T00:00:00.0/2005-05-15T00:00:00.0,11027.5488,6663.564,3276.9331,3386.6311,4382.7759,5270.3633,1466.146,3804.2173,1927.9197,0.9781
2005-05-15T00:00:00.0/2005-05-16T00:00:00.0,11057.7402,8159.79,6449.7314,1710.0583,9280.7314,8140.6841,6414.1226,1726.5614,9102.7217,0.967
2005-05-16T00:00:00.0/2005-05-17T00:00:00.0,11087.0986,8254.7725,6621.6387,1633.1337,9541.5928,7884.5586,5923.4971,1961.0615,8234.042,0.9771
2005-05-17T00:00:00.0/2005-05-18T00:00:00.0,11115.6201,7258.1626,4299.5884,2958.5745,5933.2427,6580.522,3326.5557,3253.9666,4626.2212,0.976
2005-05-18T00:00:00.0/2005-05-19T00:00:00.0,11143.2812,8248.2744,6653.7856,1594.4891,9315.8799,7809.7402,5897.4277,1912.3127,7954.8633,0.9705
2005-05-19T00:00:00.0/2005-05-20T00:00:00.0,11170.1367,8179.1899,6448.8286,1730.3613,9338.918,7107.7891,4721.8672,2385.9216,6783.022,0.9802
2005-05-20T00:00:00.0/2005-05-21T00:00:00.0,11196.125,8316.3643,6826.5195,1489.8448,9913.9541,8300.1484,6780.2695,1519.8793,9864.7881,0.9799
2005-05-21T00:00:00.0/2005-05-22T00:00:00.0,11221.2676,8642.3125,7592.3179,1049.9941,11306.335,8642.3125,7592.3179,1049.9941,11306.335,0.9795
2005-05-22T00:00:00.0/2005-05-23T00:00:00.0,11245.6162,8782.1865,7952.3213,829.8652,11961.251,8782.1865,7952.3213,829.8652,11961.251,0.9736
2005-05-23T00:00:00.0/2005-05-24T00:00:00.0,11269.1123,7238.2949,4121.6299,3116.6655,5817.501,4606.7759,1077.2957,3529.4802,1733.4786,0.9833
2005-05-24T00:00:00.0/2005-05-25T00:00:00.0,11291.7246,8346.9619,6709.0884,1637.8735,9526.0635,8279.9941,6602.2715,1677.722,9285.9209,0.983
2005-05-25T00:00:00.0/2005-05-26T00:00:00.0,11313.5137,8045.2969,6080.9463,1964.351,8555.2637,8045.2969,6080.9463,1964.351,8555.2637,0.9774
2005-05-26T00:00:00.0/2005-05-27T00:00:00.0,11334.4795,8335.3145,6903.5083,1431.8068,9977.5811,8335.3145,6903.5083,1431.8068,9977.5811,0.9819
2005-05-27T00:00:00.0/2005-05-28T00:00:00.0,11354.5742,7963.6113,5796.9082,2166.7031,8099.2949,7877.1426,5609.9097,2267.2332,7847.3071,0.9816
2005-05-28T00:00:00.0/2005-05-29T00:00:00.0,11373.8408,8252.7295,6566.5601,1686.1698,9365.7891,8252.7295,6566.5601,1686.1698,9365.7891,0.9809
2005-05-29T00:00:00.0/2005-05-30T00:00:00.0,11392.2119,8195.1348,6415.7788,1779.3558,9137.1846,8195.1348,6415.7788,1779.3558,9137.1846,0.9288
