# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,6487.9043,4559.9585,3543.5024,1016.4561,7714.4985,3918.625,1984.9946,1933.6304,4748.812,0.9729
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,6574.3911,4019.7512,2310.7485,1709.0026,4811.7598,2940.772,1015.271,1925.501,1907.5424,0.966
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,6660.8335,4694.3408,3452.5312,1241.8097,7323.6987,4526.5562,3190.801,1335.7552,6725.0688,0.975
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,6747.2256,4091.7522,2240.8538,1850.8984,4604.1763,2966.252,925.0588,2041.1932,1929.833,0.974
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,6833.5566,4633.209,2983.9597,1649.2489,6068.3813,2189.4092,406.8101,1782.5991,1054.5315,0.9774
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,6919.8081,4644.9224,3001.0303,1643.8922,6066.2271,2913.9932,822.8929,2091.1001,1828.3563,0.976
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,7005.9341,4444.7998,2748.1094,1696.6902,5432.3818,2703.6841,556.1041,2147.5801,1188.8676,0.9747
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,7091.9531,4292.1416,2271.8779,2020.2635,4445.0674,835.6322,0.5006,835.1316,0.8201,0.9729
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,7177.7495,4669.127,2908.4014,1760.7258,5721.8032,2032.3757,224.7556,1807.62,590.4909,0.9771
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,7263.3862,4707.4209,2979.2783,1728.1426,5820.6099,2962.3455,629.3306,2333.0149,1492.075,0.9757
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,7348.8413,4913.1709,3411.9624,1501.2087,6686.2075,4637.3027,2938.8318,1698.4708,5592.7803,0.9688
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,7434.0229,5192.8218,3926.9866,1265.8351,7781.9106,5192.8218,3926.9866,1265.8351,7781.9106,0.9778
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,7518.9111,5560.7539,4529.9429,1030.811,9072.8789,5560.7539,4529.9429,1030.811,9072.8789,0.9767
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,7603.5747,5048.5259,3448.2051,1600.3207,6612.6353,4835.5879,3164.4753,1671.1125,6028.7314,0.975
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,7687.9038,4792.8867,2708.3889,2084.4976,5145.8433000000005,3208.3684,1416.4022,1791.9661,2824.0188,0.9788
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,7771.8711,5590.127,4361.2515,1228.8756,8411.5732,4617.2622,2315.9219,2301.3403,4627.521,0.9774
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,7855.4819,5524.7495,4201.7305,1323.0193,8112.1694,2170.2532,85.9617,2084.2915,167.0831,0.9764
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,7938.7056,5685.9014,4048.6338,1637.2678,7716.8901,2945.4053,806.4178,2138.9875,1938.9185,0.959
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,8021.5024,5762.3071,4114.4863,1647.8208,7629.002,3137.2896,615.2716,2522.0178,1094.999,0.9733
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,8103.8242,5968.0981,4683.5981,1284.4998,8865.916,3439.9114,1695.7528,1744.1586,3277.3125,0.9774
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,8185.7476,5724.373,4078.8411,1645.5319,7653.1411,2910.1865,1134.964,1775.2224,2621.968,0.9757
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,8267.1465,5756.436,4333.7383,1422.6976,8090.0444,5726.8384,4260.917,1465.9215,7955.3271,0.9743
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,8348.0186,5921.9204,4554.7983,1367.1217,8423.7168,4345.5688,2132.929,2212.6399,3943.4468,0.9781
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,8428.3242,5750.8643,4112.3364,1638.5276,7612.5977,1632.0507,120.9848,1511.0658,399.7475,0.9774
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,8508.124,5708.4492,3954.8044,1753.6447,7122.0205,2251.5178,310.8925,1940.6252,742.0309,0.9753
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,8587.3057,5538.2866,3509.3569,2028.9297,6340.7363,3394.5759,764.0565,2630.5193,1427.0118,0.974
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,8665.8418,5350.5229,2910.739,2439.7837,5092.728,1407.6421,31.1673,1376.4747,101.0402,0.9729
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,8743.7783,5534.6836,3177.1519,2357.5315,5435.0293,4267.7944,1556.3253,2711.4692,2735.7322,0.9767
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,8821.0527,5882.3682,3926.8479,1955.5201,7047.4849,2061.1184,63.8144,1997.304,332.1912,0.8087
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,8897.6426,6180.2446,4572.708,1607.5369,8143.4907,2371.9636,386.5698,1985.3938,939.8862,0.9743
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,8973.5459,6153.5742,4371.6099,1781.9646,7820.5024,4174.54,2134.8755,2039.6644,4131.4663,0.9778
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,9048.7305,6728.7139,5617.9722,1110.7416,10227.8975,6670.2749,5468.1333,1202.142,9996.9678,0.9712
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,9123.1699,6754.5352,5540.6631,1213.8722,9983.2246,6754.5352,5540.6631,1213.8722,9983.2246,0.975
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,9196.8193,6653.9072,5270.166,1383.7412,9303.5635,6631.4883,5250.3687,1381.1194,9124.9814,0.974
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,9269.7266,6255.1797,4363.645,1891.5343,7422.0928,6116.48,4207.4321,1909.0477,6926.6714,0.9726
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,9341.8291,6232.2783,4175.6729,2056.6052,7082.4678,5412.5039,2778.9338,2633.5703,4837.4189,0.9764
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,9413.1084,6290.3828,4225.2119,2065.1709,7084.8691,2271.3977,206.902,2064.4958,317.6871,0.9698
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,9483.5332,6809.5254,5177.6646,1631.8608,8806.5684,5223.1938,2632.1304,2591.0635,4752.3237,0.974
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,9553.125,6647.4546,4785.7705,1861.684,8243.8066,3842.3911,675.0349,3167.3564,1350.2224,0.9726
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,9621.8359,6742.1919,4875.9644,1866.2273,8283.8496,5132.9131,1891.0315,3241.8816,3637.96,0.9764
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,9689.6299,6661.0015,4935.6025,1725.3992,8378.8018,2481.0798,198.3136,2282.7664,335.1893,0.9545
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,9756.5342,6391.2637,4191.5234,2199.7405,6857.6304,5378.6328,2491.0952,2887.5374,3743.7859,0.974
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,9822.4971,6214.2842,3582.5076,2631.7769,5872.5098,2573.9036,678.9006,1895.0029,1288.7375,0.9625
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,9887.4814,6577.022,4322.0293,2254.9927,7185.0522,2761.8352,769.0787,1992.7565,1827.2235,0.9715
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,9951.5283,7078.1274,5239.9473,1838.1798,8776.168,1866.5977,38.1333,1828.4644,97.8551,0.9753
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10014.5381,7186.3955,5606.7349,1579.6605,9419.3076,4325.0156,1480.5114,2844.5044,2792.7407,0.9639
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10076.542,7510.0049,6133.7422,1376.2631,10442.5791,4596.1787,1611.3033,2984.8752,3632.468,0.9733
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10137.5322,7362.9165,5768.2207,1594.6962,9662.7256,2968.6304,595.8004,2372.8298,1244.4307,0.9719
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10197.4561,7508.2539,6037.9019,1470.3518,10203.5176,4628.6733,1608.1226,3020.5508,3203.8123,0.9757
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10256.2627,7674.8584,6199.1982,1475.6603,10403.7344,4569.0444,1164.5938,3404.4509,2065.8232,0.975
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10314.0264,7538.2085,5857.4448,1680.7637,9807.7061,4230.543,1063.9987,3166.5444,1869.168,0.9684
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10370.6445,7629.5669,6089.0234,1540.5435,10100.5547,4378.417,1367.5713,3010.8455,2615.5156,0.9726
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10426.1309,7750.8228,6467.3481,1283.4744,10916.7002,7184.7314,5312.8579,1871.874,8721.2305,0.9715
2005-05-13T00:00:00.0/2005-05-14T00:00:00.0,10480.4648,7688.7017,6222.0015,1466.7001,10344.3564,6351.4136,3658.5481,2692.8657,6176.3745,0.9705
2005-05-14T00:00:00.0/2005-05-15T00:00:00.0,10533.6553,7699.7998,6166.3228,1533.4771,10226.0449,7161.4316,4906.104,2255.3276,7845.9482,0.9743
2005-05-15T00:00:00.0/2005-05-16T00:00:00.0,10585.6309,7414.3086,5334.623,2079.6855,8728.9346,4993.9985,2350.1265,2643.8721,4104.2417,0.9628
2005-05-16T00:00:00.0/2005-05-17T00:00:00.0,10636.4043,7456.231,5390.0254,2066.2058,8930.5791,2899.665,157.3041,2742.3611,274.0317,0.9722
2005-05-17T00:00:00.0/2005-05-18T00:00:00.0,10685.9531,7968.6606,6365.7388,1602.9216,10532.5225,3866.1162,1020.7639,2845.3523,2526.5029,0.9712
2005-05-18T00:00:00.0/2005-05-19T00:00:00.0,10734.2393,7772.2441,6050.5249,1721.7191,9874.0498,7334.3667,5066.5513,2267.8152,8485.4766,0.9705
2005-05-19T00:00:00.0/2005-05-20T00:00:00.0,10781.3213,7344.5049,5131.1011,2213.4036,8007.6855,4717.2173,1126.326,3590.8909,1547.8651,0.9743
2005-05-20T00:00:00.0/2005-05-21T00:00:00.0,10827.0898,7418.3203,5271.8599,2146.4604,8425.3076,3716.0811,644.8531,3071.2278,866.3268,0.9736
2005-05-21T00:00:00.0/2005-05-22T00:00:00.0,10871.5859,7874.6948,6102.8501,1771.8445,9863.2363,4411.0493,1421.4325,2989.6169,2263.0022,0.9674
2005-05-22T00:00:00.0/2005-05-23T00:00:00.0,10914.7959,7910.4297,6030.502,1879.9277,9679.459,5984.8906,3164.4456,2820.4453,5204.9434,0.9611
2005-05-23T00:00:00.0/2005-05-24T00:00:00.0,10956.6631,8165.2192,6648.7026,1516.5167,10837.751,6117.0083,3369.8364,2747.1719,5648.8501,0.9708
2005-05-24T00:00:00.0/2005-05-25T00:00:00.0,10997.2168,7849.168,5932.6284,1916.5396,9601.8154,2445.3752,177.8065,2267.5688,391.1654,0.9701
2005-05-25T00:00:00.0/2005-05-26T00:00:00.0,11036.4141,7659.915,5608.6519,2051.2632,8938.5732,5478.3325,1984.9344,3493.3982,2853.8372,0.9691
2005-05-26T00:00:00.0/2005-05-27T00:00:00.0,11074.25,7865.189,6243.2515,1621.9379,9983.3994,6343.5918,3098.3892,3245.2026,4732.3921,0.9736
