# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,6857.6279,5056.2397,4133.8726,922.3668,8381.0469,4982.8267,4005.0247,977.8021,8000.769,0.9785
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,6933.0898,5028.832,3975.1255,1053.7067,7901.917,5028.832,3975.1255,1053.7067,7901.917,0.9774
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,7008.5635,4696.627,3040.9802,1655.647,5759.9624,993.7248,54.8988,938.826,232.8588,0.9816
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,7084.0229,5028.8735,3833.6394,1195.2339,7382.6177,3292.6243,1463.4139,1829.2102,2987.1772,0.9701
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7159.4927,5040.458,3809.7341,1230.7238,7346.4131,4996.6421,3719.95,1276.6924,7139.5034,0.9375
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7234.8315,5249.3379,4192.8662,1056.4717,8099.208,5249.3379,4192.8662,1056.4717,8099.208,0.9785
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,7310.1304,5300.8433000000005,4202.3472,1098.4961,8057.0415,5300.8433000000005,4202.3472,1098.4961,8057.0415,0.9826
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,7385.3164,5227.9282,3944.6509,1283.2775,7437.3911,5227.9282,3944.6509,1283.2775,7437.3911,0.9556
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,7460.4131,5403.6807,4321.7368,1081.9436,8187.8955,5403.6807,4321.7368,1081.9436,8187.8955,0.9802
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,7535.3208,5033.9995,3297.3191,1736.6803,5971.7617,5013.4492,3282.9822,1730.4669,5876.1641,0.9792
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,7610.0469,4924.9507,2978.9844,1945.9661,5312.7314,4182.3516,1997.0831,2185.2683,3518.332,0.9729
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,7684.5391,5009.3569,3079.5181,1929.8389,5456.1689,4071.2686,2036.4152,2034.8534,3491.8882,0.967
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,7758.8911,4291.6289,1711.8507,2579.7783,2883.0303,2451.2988,269.4347,2181.8643,447.74,0.9816
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,7832.9727,4883.1582,2682.6458,2200.5127,4589.0801,2569.4868,323.5567,2245.9302,530.5874,0.9802
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,7906.7881,5112.5527,3064.4653,2048.0874,5237.813,1773.2222,129.5841,1643.6381,214.6122,0.9792
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,7980.3174,5004.668,2783.7327,2220.9353,4690.5298,2123.3059,148.4101,1974.8959,275.4156,0.9833
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,8053.541,5248.9355,3204.7566,2044.1791,5518.4409,1379.1396,28.1657,1350.974,97.3186,0.9823
