# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-03-26T00:00:00.0/2005-03-27T00:00:00.0,7862.4761,5034.165,2806.03,2228.135,4800.7861,1333.2078,6.0806,1327.1272,21.7624,0.983
2005-03-27T00:00:00.0/2005-03-28T00:00:00.0,7937.269,5073.5376,2830.395,2243.1423,4929.3853,1214.6854,130.7039,1083.9814,348.0591,0.9823
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,8011.8359,5674.6782,4237.1675,1437.5106,7591.1714,5362.2876,3503.4895,1858.798,6323.1836,0.9757
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,8086.0488,5524.8252,3730.3772,1794.4482,6598.5195,3573.9985,1120.22,2453.7788,2441.6082,0.9799
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,8159.9136,5576.2656,3711.4365,1864.8291,6432.7407,4397.9795,1786.8679,2611.1118,2873.825,0.9788
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,8233.4102,5412.1816,3183.4678,2228.7136,5482.9844,4506.0044,2067.062,2438.9424,3496.2896,0.9726
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,8306.5654,5695.3428,3818.304,1877.0387,6592.1196,3886.355,1351.8665,2534.4885,2743.8442,0.9767
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,8379.2832,6218.4189,4886.1729,1332.246,8649.0576,6218.4189,4886.1729,1332.246,8649.0576,0.9753
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,8451.542,6309.7207,5007.2944,1302.4261,8835.2686,6309.7207,5007.2944,1302.4261,8835.2686,0.9799
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,8523.4043,6080.1099,4405.3926,1674.7173,7547.0898,6080.1099,4405.3926,1674.7173,7547.0898,0.984
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,8594.8389,6137.8672,4487.7021,1650.1654,7660.5894,6137.8672,4487.7021,1650.1654,7660.5894,0.9826
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,8665.7529,5848.0693,3744.4944,2103.5752,6283.0117,5264.7031,3023.2937,2241.4094,4661.7588,0.9816
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,8736.1602,6102.8057,4226.6753,1876.13,7152.6382,3417.9175,567.4052,2850.5122,898.2073,0.9649
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,8806.0752,5937.3276,3711.9216,2225.406,6154.751,2162.79,786.9429,1375.847,1064.6528,0.9792
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,8875.3984,6367.439,4703.4746,1663.9641,7845.3574,3952.3179,1074.8589,2877.459,1962.5935,0.9785
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,8944.1982,6538.4224,5265.6655,1272.757,8873.6963,1388.5222,8.8013,1379.7209,11.2605,0.9778
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,9012.4131,5632.8481,2857.0215,2775.8269,4532.584,1409.36,114.7897,1294.5703,202.1889,0.9764
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,9080.0635,6011.8535,3541.6531,2470.2007,5710.8096,1607.2913,421.1796,1186.1117,896.2668,0.975
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,9147.0732,6681.2549,5173.1973,1508.0579,8595.2266,6580.4072,5034.772,1545.6356,8039.3242,0.9792
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,9213.4268,6518.3486,4725.811,1792.5375,7683.1406,6511.3516,4718.5898,1792.7616,7617.3677,0.9837
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,9279.1621,6522.1035,4624.0977,1898.0059,7544.6538,5727.9243,3509.8237,2218.1008,5762.6504,0.9826
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,9344.2646,6444.6343,4329.7949,2114.8394,6971.9019,2081.272,238.2995,1842.9725,605.2164,0.9812
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,9408.6279,6771.748,4883.5298,1888.2179,7971.7627,3416.8643,1215.0933,2201.771,2038.9109,0.9806
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,9472.3398,7007.7622,5665.6885,1342.0741,9364.1592,6973.3828,5591.9126,1381.4701,9070.4736,0.8076
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,9535.3359,6717.6431,4846.3154,1871.3276,7774.9478,1629.2129,62.0951,1567.1178,267.4942,0.9788
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,9597.6406,6854.6592,4967.8154,1886.8439,8002.7969,3807.1953,2108.3142,1698.8811,2615.5417,0.9771
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,9659.1641,7187.4883,5870.2183000000005,1317.27,9578.4131,6435.5918,4785.5903,1650.0017,7162.3467,0.966
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,9719.9648,6819.8813,4737.1631,2082.718,7475.8267,6612.0054,4519.2822,2092.7236,6782.1479,0.9753
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,9779.9629,7023.3301,5229.9575,1793.3727,8399.6826,1588.1576,29.1804,1558.9772,73.6523,0.9747
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,9839.2715,6766.4985,4435.4922,2331.0066,7009.4771,1218.3813,1.4418,1216.9396,8.8772,0.9785
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,9897.7598,6871.8398,4628.5479,2243.2915,7313.2891,3456.9536,874.3311,2582.6223,1544.4628,0.9826
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,9955.4209,7581.5513,6337.3218,1244.2292,10281.8125,7581.5513,6337.3218,1244.2292,10281.8125,0.9767
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,10012.3047,7437.9233,6096.3408,1341.5826,9782.9297,7379.3486,5977.5776,1401.771,9419.3057,0.9809
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,10068.3633,7210.6108,5499.0132,1711.598,8687.4268,6312.0098,3839.8618,2472.1479,5754.5488,0.9799
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,10123.6084,6830.8218,4444.8662,2385.9556,6804.0054,6383.5747,3831.8699,2551.7048,5642.0894,0.9788
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,10177.9668,6838.1377,4394.7783,2443.3594,6654.7832,6338.4463,3389.3782,2949.0679,5207.0239,0.9573
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,10231.5098,7195.0166,5225.2124,1969.8041,8074.4541,7059.436,4995.0317,2064.4048,7633.3765,0.9771
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,10284.1436,7431.2695,5636.6709,1794.5985,8711.8086,7166.1421,5032.3745,2133.7676,7719.7871,0.966
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,10335.9775,7253.5293,5120.2524,2133.2771,7784.1665,4747.9551,1367.6089,3380.3459,2000.4861,0.975
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,10386.8662,7500.1499,5579.5894,1920.5605,8490.8623,6005.5825,3259.7122,2745.8701,4970.9263,0.9743
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10436.8672,7657.521,5927.6567,1729.8638,9154.7363,7516.7275,5653.6929,1863.0345,8363.0254,0.9681
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10485.9326,7834.8643,6420.644,1414.2202,10170.0527,7777.9639,6280.8779,1497.0857,9964.5361,0.9778
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10534.0947,7999.5996,6818.0776,1181.522,10828.377,7999.5996,6818.0776,1181.522,10828.377,0.9823
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10581.3311,8145.9858,6978.728,1167.2581,10978.8008,8145.9858,6978.728,1167.2581,10978.8008,0.9809
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10627.5938,7558.0454,5431.7163,2126.3291,8227.1816,5177.0815,2303.3127,2873.7688,3521.0242,0.9802
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10672.8916,7272.8022,4712.564,2560.238,7004.9014,1019.7349,1.911,1017.8239,5.3565,0.9743
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10717.2158,7571.4282,5377.519,2193.9094,8056.2407,4906.7812,2599.7512,2307.03,3946.7017,0.9788
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10760.5957,7945.9746,6319.5894,1626.3849,9765.9873,7425.8579,4859.5264,2566.3313,7613.6929,0.9778
